,120
f0bf4fa0-028e-452f-82d3-7d4375e105dd,20313
e8bffa2a-e2a6-4bb6-82c8-be430b2f7d8f,16595
7a53094c-962f-4f48-8e99-c6298b7ea9d5,24461
a5fd336b-cd43-43f1-9bae-61042d73132e,22513
e26fa4b0-ea73-4a33-a745-44077a0d5a59,22878
a7dc5906-1118-4dbc-84c2-9e6085fedd4c,43015
77681abe-00e0-4476-a2a2-feb20d811725,5358
a46a8ac0-5179-4790-ad77-1e0c1a843989,8361
aee63f14-ab80-4b37-86e4-d06fe05a898c,35263
6a3fdc71-8bc4-4aca-827a-717072b60635,11337
c0a11520-792f-4402-8ee1-e4f15089c75b,40056
e0712dac-5d51-418f-bb35-1447274fc6a2,19079
69090b57-8bb6-49bf-b546-ab82748c762f,31709
8d8658f5-0e5c-4041-9def-ad1cf12f9d4c,32481
14db2ea8-3e7e-4504-8e52-31ad18c95c9d,40148
20f4225f-f50e-4382-8b6e-b18448bc037d,5376
f467181e-d5e0-4285-b47e-e853dcc89ee7,3891
04700977-3920-4944-b54c-06d8a266ae1f,28248
aa6d6466-2888-4443-9bfe-2bd2870360f6,1421
b8e060d8-5898-4718-972e-b9695bfc1429,22017
852e90f4-1ba5-4b79-a0b8-782f59fa532d,8080
c3ecef5d-84f3-4942-8c24-0a626343c3f4,15227
20ff3303-4fe2-4a47-a1b6-291e26aa3438,9404
f6f01576-df6f-4d9d-8285-8fa1f4187673,15748
a50d7e6f-009d-413f-aabe-72d7b544aaa6,25109
8c01ec87-94a5-4046-9d74-7700198ce1c7,24087
79afffe6-d46a-4b08-bf53-f98153ea5131,31502
985ae035-fecf-4f3e-99af-5e29b2e5d17a,26193
16cf55a1-af16-47a6-8464-190922145841,17984
fc708243-232a-49dd-a9c8-0383285890ad,19887
1ddec30d-dba7-4421-a8b0-14ea8f09d050,40159
23331fcb-179d-4007-b44c-00776c6c7597,26192
345e274e-6ce9-48c0-9712-5dad15c7e27c,4266
b01f63b9-49a6-4d68-9f65-648e59f5fe22,24949
5ba43ff1-f124-4b94-aed8-6428bd90bdd4,4281
c72d59e9-9746-4fb5-a4ad-cf7c6e75f6f4,23031
b2ac9415-8075-475a-9b51-020cb6172100,40248
5c9b6ea5-8b52-45ef-bedd-a9fd5afff48e,31227
